MT,ID
887,2
517,2
517,2
484,2
415,2
551,2
483,2
462,2
642,2
1093,3
922,3
846,3
1164,3
912,3
708,3
1049,3
1145,3
989,3
675,3
707,3
937,3
855,3
909,3
945,3
764,3
925,3
696,3
1914,4
1026,4
944,4
1023,4
1416,4
956,4
833,4
832,4
1755,4
721,2
439,2
483,2
554,2
414,2
496,2
527,2
530,2
526,2
853,3
607,3
914,3
515,3
855,3
664,3
1024,3
969,3
730,3
741,2
773,2
800,2
697,2
709,2
540,2
867,2
708,2
820,2
1295,5
1634,5
1053,5
1315,5
867,5
1643,5
1383,5
945,5
1282,5
844,4
1058,4
731,4
1056,4
835,4
1291,4
687,4
901,4
720,4
