A,W,MT,ID
128,64,887,2
128,64,517,2
128,64,517,2
128,64,484,2
128,64,415,2
128,64,551,2
128,64,483,2
128,64,462,2
128,64,642,2
128,16,1093,3
128,16,922,3
128,16,846,3
128,16,1164,3
128,16,912,3
128,16,708,3
128,16,1049,3
128,16,1145,3
128,16,989,3
256,32,675,3
256,32,707,3
256,32,937,3
256,32,855,3
256,32,909,3
256,32,945,3
256,32,764,3
256,32,925,3
256,32,696,3
256,16,1914,4
256,16,1026,4
256,16,944,4
256,16,1023,4
256,16,1416,4
256,16,956,4
256,16,833,4
256,16,832,4
256,16,1755,4
256,64,721,2
256,64,439,2
256,64,483,2
256,64,554,2
256,64,414,2
256,64,496,2
256,64,527,2
256,64,530,2
256,64,526,2
512,64,853,3
512,64,607,3
512,64,914,3
512,64,515,3
512,64,855,3
512,64,664,3
512,64,1024,3
512,64,969,3
512,64,730,3
128,32,741,2
128,32,773,2
128,32,800,2
128,32,697,2
128,32,709,2
128,32,540,2
128,32,867,2
128,32,708,2
128,32,820,2
512,16,1295,5
512,16,1634,5
512,16,1053,5
512,16,1315,5
512,16,867,5
512,16,1643,5
512,16,1383,5
512,16,945,5
512,16,1282,5
512,32,844,4
512,32,1058,4
512,32,731,4
512,32,1056,4
512,32,835,4
512,32,1291,4
512,32,687,4
512,32,901,4
512,32,720,4
